Builder,Order #,Job #,Lot,Tract,Store,Job Type,Install Date,Status,Revenue,Transitions Found
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG628440","CP 108 - LVT GLUE","108","CENTRE PLACE","003","RESILIENT - LV GLUE","2026-06-18","SCHEDULED","2477.97",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG628801","CP 119 - LVT GLUE","119","CENTRE PLACE","003","RESILIENT - LV GLUE","2026-06-18","SCHEDULED","2277.98",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG629187","CP 123 - LVT GLUE","123","CENTRE PLACE","003","RESILIENT - LV GLUE","2026-06-18","SCHEDULED","2277.98",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG628786","CP 9 - LVT GLUE","9","CENTRE PLACE","003","RESILIENT - LV GLUE","2026-06-19","SCHEDULED","2912.65",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG627865","HH 768 - LVT GLUE","768","Homestead HLE","003","RESILIENT - LV GLUE","2026-06-26","SCHEDULED","2856.38",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG631666","HH 675 - LVP GLUE","675","HOMESTEAD","003","RESILIENT - LV GLUE","2026-06-29","SCHEDULED","2277.98",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG631504","HH 673 - LVT GLUE","673","HOMESTEAD HLE","003","RESILIENT - LV GLUE","2026-07-08","SCHEDULED","2277.98",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG629929","HH 674 - LVT GLUE","674","HOMESTEAD HLE","003","RESILIENT - LV GLUE","2026-07-09","SCHEDULED","2856.38",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG632662","HH 676 - LVT GLUE","676","HOMESTEAD HLE","003","RESILIENT - LV GLUE","2026-07-09","SCHEDULED","2820.62",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG631398","HH 787 - LVT GLUE","787","HOMESTEAD HLE","003","RESILIENT - LV GLUE","2026-07-10","SCHEDULED","1679.51",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG631374","HH 815 - LVT GLUE","815","HOMESTEAD HLE","003","RESILIENT - LV GLUE","2026-07-10","SCHEDULED","2856.38",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG638448","CP 3 - LVT GLUE","3","CENTRE PLACE","003","RESILIENT - LV GLUE","2026-07-14","SCHEDULED","2477.97",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG638393","CP 7 - LVT GLUE","7","CENTRE PLACE","003","RESILIENT - LV GLUE","2026-07-15","SCHEDULED","3298.91",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG638901","CP 14 - LVT GLUE","14","CENTRE PLACE","003","RESILIENT - LV GLUE","2026-07-16","SCHEDULED","3043.60",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG639385","CP 122 - LVT GLUE","122","CENTRE PLACE","003","RESILIENT - LV GLUE","2026-07-16","SCHEDULED","3043.60",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG637455","CP 125 - LVP GLUE","125","CENTRE PLACE","003","RESILIENT - LV GLUE","2026-07-17","SCHEDULED","2856.38",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG639286","SD 70 - LVT GLUE","70","SUMMERFIELD","003","RESILIENT - LV GLUE","2026-07-17","SCHEDULED","2856.38",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG638657","SD 66 - LVP GLUE","66","SUMMERFIELD","003","RESILIENT - LV GLUE","2026-07-17","SCHEDULED","4321.77",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG638486","HH 769 - LVT GLUE","769","Homestead HLE","003","RESILIENT - LV GLUE","2026-07-22","SCHEDULED","2820.62",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG639411","HH 678 - LVT GLUE","678","HOMESTEAD HLE","003","RESILIENT - LV GLUE","2026-07-23","SCHEDULED","3298.91",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG637676","HH 687 - LVP GLUE","687","HOMESTEAD HLE","003","RESILIENT - LV GLUE","2026-07-23","SCHEDULED","3298.91",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG638969","HH 764 - LVT GLUE","764","HOMESTEAD HLE","003","RESILIENT - LV GLUE","2026-07-23","SCHEDULED","1679.51",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG639710","SD 76 - LVT GLUE","76","SUMMERFIELD","003","RESILIENT - LV GLUE","2026-07-23","SCHEDULED","2856.38",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG638858","HH 682 - LVP GLUE","682","HOMESTEAD HLE","003","RESILIENT - LV GLUE","2026-07-23","SCHEDULED","3043.60",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG638718","HH 689 - LVP GLUE","689","HOMESTEAD HLE","003","RESILIENT - LV GLUE","2026-07-23","SCHEDULED","3043.60",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG638806","SD 99 - LVT GLUE","99","SUMMEFIELD","003","RESILIENT - LV GLUE","2026-07-23","SCHEDULED","2477.97",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG638943","HH 691 - LVP GLUE","691","HOMESTEAD HLE","003","RESILIENT - LV GLUE","2026-07-23","SCHEDULED","2277.98",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG638694","HH 679 - LVT GLUE","679","HOMESTEAD HLE","003","RESILIENT - LV GLUE","2026-07-23","SCHEDULED","2554.74",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG639341","HH 681 - LVT GLUE","681","HOMESTEAD HLE","003","RESILIENT - LV GLUE","2026-07-23","SCHEDULED","2820.62",""
"D.R. HORTON INDIANA (INDIANA DIVISION)","CG639897","HS 677 - LVT GLUE","677","HOMESTEAD","003","RESILIENT - LV GLUE","2026-07-24","SCHEDULED","2477.97",""
"ARBOR HOMES - INDIANAPOLIS","CG640896","BRI 40 - LVT","40","Bridle Oaks South","003","RESILIENT - LV CLICK","","","2366.10",""
"ARBOR HOMES - INDIANAPOLIS","CG640749","BRI 14 - LVT","14","Bridle Oaks South","003","RESILIENT - LV CLICK","","","3237.30",""
"ARBOR HOMES - INDIANAPOLIS","CG637161","BRI 16 - LVT","16","Bridle Oaks South","003","RESILIENT - LV CLICK","","","4959.90",""
"ARBOR HOMES - INDIANAPOLIS","CG637260","BRI 41 - LVT","41","Bridle Oaks South","003","RESILIENT - LV CLICK","","","4093.65",""
"ARBOR HOMES - INDIANAPOLIS","CG640738","BRI 7 - LVT","7","Bridle Oaks South","003","RESILIENT - LV CLICK","","","6571.20",""
"ARBOR HOMES - INDIANAPOLIS","CG639420","IBF 85 - LVT","85","Isabelle Farms","003","RESILIENT - LV CLICK","","","3999.60",""
